rproj_fit_mult,vproj_fit_mult,vproj_fit_offset,gd_rproj_fit_mult,gd_vproj_fit_mult,gd_vproj_fit_offset,mu_HME,mu_HME_dyn,mu_HME_HAMngt7,P_G,C_G,P_H,C_H,mu_HME_dw,P_G_dw,C_G_dw,P_H_dw,C_H_dw,P_G_dwgt1,C_G_dwgt1,P_H_dwgt1,C_H_dwgt1,mu_HME_dwgt1,n_dwgroups,n_Ngt1dwgroups
3,4,200,7,1,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,2,0,0.1621713344273881,0.3420153021630324,0.22199999999999953,0.9843930365191299,0.9285986333369077,0.9259039001357597,0.9752426736042966,0.16499999999999915,0.9932030552366373,0.939688315942217,0.9807906332381379,0.9684613303689222,0.9005018674136321,0.9559407096171801,0.827109924725904,0.9602305269186714,0.18684680061059905,6968,476
3,4,200,7,2,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,2,200,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.983713082285806,0.9354997279696138,0.9244660060974896,0.9788742777778761,0.16499999999999915,0.9924237290870077,0.9487800472608346,0.9788867082234923,0.9732699614956554,0.9039083282177204,0.9664927358297524,0.8283655229463386,0.9711627223900637,0.18759006697196637,6887,543
3,4,200,7,2,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,3,0,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9839815003213607,0.9334493830544442,0.925019042266055,0.9778419435965541,0.16499999999999915,0.9927404835390947,0.9460717860945267,0.9796189870752791,0.97190304097232,0.9044232804232804,0.9608994708994708,0.8300124823012146,0.9664732220483394,0.18799999999999883,6912,525
3,4,200,7,3,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,3,200,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.983713082285806,0.9354997279696138,0.9244660060974896,0.9788742777778761,0.16499999999999915,0.9924237290870077,0.9487800472608346,0.9788867082234923,0.9732699614956554,0.9039083282177204,0.9664927358297524,0.8283655229463386,0.9711627223900637,0.18759006697196637,6887,543
3,4,200,7,3,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,4,0,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9838189305268487,0.9349915158918721,0.9246872205649158,0.9785977596935933,0.16499999999999915,0.9925522999065209,0.9481067864063488,0.979179619764207,0.972903822069762,0.9043865094144424,0.9651872542933995,0.829324122615407,0.9700454468229697,0.18892340030529978,6894,537
